Country,Deaths / million,Deaths,Cases
,"1,802","3,212","274,279"
,"1,798","13,466","2,876,106"
,"1,712","102,595","4,072,738"
,"1,712",913,"122,115"
,"1,697",688,"71,408"
,"1,658","146,837","7,627,863"
,"1,647","9,693","3,435,679"
,"1,621","14,170","4,455,787"
,"1,618","1,450","693,899"
,"1,609","1,302","74,357"
,"1,605",172,"51,790"
,"1,600","4,108","172,500"
,"1,595",305,"45,883"
,"1,556",146,"9,106"
,"1,544","1,000","392,477"
,"1,515",41,"11,922"
,"1,453",161,"66,391"
,"1,445",46,"12,324"
,"1,435","55,218","4,816,809"
,"1,372",116,"38,008"
,"1,356",413,"98,041"
,"1,344","12,707","4,841,558"
,"1,326",132,"25,389"
,"1,308","22,986","8,637,814"
,"1,273","3,601","157,022"
,"1,268","3,605","335,047"
,"1,251","14,122","1,746,997"
,"1,192",124,"9,674"
,"1,188","101,419","17,004,717"
,"1,187","1,427","75,356"
,"1,132","20,203","1,250,364"
,"1,100","37,351","5,302,017"
,"1,087","5,708","703,228"
,"1,082",314,"80,163"
,"1,065","11,114","472,884"
,"1,064","2,801","330,650"
,"1,057",67,"35,326"
,"1,054","5,732","1,509,883"
,"1,043","1,536","696,614"
,"1,017",74,"16,047"
,"1,011","4,628","399,449"
,999,"10,353","835,542"
,983,"19,072","1,504,370"
,964,46,"6,607"
,964,"25,236","11,861,161"
,951,885,"69,047"
,945,921,"494,595"
,944,"6,437","507,269"
,874,40,"6,795"
,827,41,"14,750"
,823,"1,070","327,305"
,807,"4,185","2,629,816"
,776,9,"3,760"
,774,"16,907","672,791"
,767,34,"8,359"
,760,"8,530","1,113,662"
,755,12,"3,904"
,746,"7,118","994,037"
,739,"17,672","9,970,937"
,703,417,"64,474"
,693,"35,934","34,571,873"
,667,"4,230","201,899"
,628,"2,136","1,011,489"
,603,316,"186,694"
,602,"74,694","33,803,572"
,602,"2,570","667,290"
,588,"162,058","6,829,260"
,578,"66,864","4,140,383"
,573,187,"42,027"
,570,"25,375","2,465,545"
,569,65,"26,460"
,552,10,"6,372"
,538,37,"31,472"
,527,28,"34,658"
,498,186,"210,187"
,484,"34,704","4,795,621"
,454,5,"5,507"
,440,"43,206","11,624,000"
,435,"16,305","1,279,115"
,408,17,"16,252"
,396,178,"346,246"
,393,"12,031","1,003,450"
,390,"4,384","661,103"
,376,"533,622","45,040,752"
,371,21,"11,971"
,359,"19,494","642,778"
,359,"2,024","3,006,155"
,351,80,"6,771"
,351,"5,740","266,374"
,339,2,"3,426"
,307,709,"36,138"
,274,199,"25,954"
,264,"9,646","841,469"
,256,690,"514,524"
,248,"2,349","1,067,030"
,223,"24,830","516,023"
,210,997,"63,868"
,206,"5,856","552,695"
,203,"4,069","349,686"
,194,"7,998","235,214"
,191,160,"9,109"
,182,24,"5,085"
,182,"3,056","139,299"
,174,121,"3,514"
,172,"29,498","2,051,130"
,168,189,"15,690"
,154,"1,024","88,953"
,153,"6,881","272,037"
